name,city,street,opening_hours,phone,lat,lon
Факултет за музичка уметност,,,,,41.9973091,21.4351329
Медицински Факултет,,,,,41.9898623,21.4246243
Меѓународен балкански универзитет,,Самоилова,,,42.0017934,21.4348281
Универзитет „Св. Кирил и Методиј“,Cкoпje,Булевар Гоце Делчев,,+389 2 3293293,42.0001211,21.4429258
Факултет за драмски уметности,,Руѓер Бошковиќ,,,42.0048024,21.4060363
Универзитет „Њујорк“,,,,,42.0020499,21.3362188
Педагошка Академија,,,,,42.0001276,21.4055326
Техничко-технолошки кампус,,,,,42.0048012,21.4083577
Машински Факултет,Cкoпje,,,,42.0056465,21.4066339
Шумарски факултет,Cкoпje,Булевар Александар Македонски,,,42.0020503,21.4592269
Економски институт - Скопје,Cкoпje,,,,41.9887436,21.4374427
Универзитет Американ Колеџ Скопје,Cкoпje,Булевар 3та Македонска Бригада,,+389 2 2463156,41.9812276,21.4546477
Институт за земјотресно инженерство и инженерска сеизмологија - ИЗИИС,,,,,41.9791577,21.4259383
Природно Математички Факултет,,,,,42.0016016,21.4518169
Фармацевтски Факултет,Cкoпje,,,,41.98852,21.4250843
Архитектонски Факултет,Cкoпje,Булевар Партизански Одреди,,+389 2 3164 974,41.9999512,21.4181017
Факултет за земјоделски науки и храна,Cкoпje,Булевар Александар Македонски,,,42.0022287,21.4583354
Студентски Дом Стив Наумов,,,,,42.0016256,21.4554107
Православен Богословски факултет - Свети Климент Охридски,,Загребска,,,41.9930174,21.4098921
Студентски дом „Гоце Делчев“,,,,,41.9992187,21.3903055
Градежен факултет,Cкoпje,Булевар Партизански Одреди,,+389 2 3116 066,42.0001345,21.4186806
ФОН Универзитет,,,,,41.9929199,21.4740172
Институт за лозарство и винарство,,,,,42.0313019,21.4530707
Факултет за безбедност,,,,,41.9571005,21.5575977
Факултет за дизајн и технологии на мебел и ентериер,Cкoпje,16 Македонска Бригада,,,42.0025342,21.4579685
Лабораторија за тестирање мебел - ФДТМЕ,Cкoпje,16 Македонска Бригада,,+389(2)6154666,42.0024672,21.4591177
Поранешен ФОН,,,,,42.0045869,21.4888751
Институт за Сточарство,,Булевар Илинден,,,42.0087773,21.4130242
South East European University,Cкoпje,,,,41.9991337,21.4353055
Сули-ан - Факултет за ликовна уметност,Cкoпje,,,,42.00167,21.4377751
